fips5,place,Trump,Biden,prop_trump,total_cases,pop_est,cases_per_cap
23003,Limestone,423,325,0.5655080213903744,1316,10.059723516,130.81870469967694
23003,Linneus,411,93,0.8154761904761905,1316,67111,0.01960930398891389
23003,Linneus,411,93,0.8154761904761905,1316,10.059723516,130.81870469967694
23003,Littleton,381,141,0.7298850574712644,1316,67111,0.01960930398891389
23003,Littleton,381,141,0.7298850574712644,1316,10.059723516,130.81870469967694
23003,Ludlow,0,0,NA,1316,67111,0.01960930398891389
23003,Ludlow,0,0,NA,1316,10.059723516,130.81870469967694
23003,Macwahoc Plt.,30,12,0.7142857142857143,1316,67111,0.01960930398891389
23003,Macwahoc Plt.,30,12,0.7142857142857143,1316,10.059723516,130.81870469967694
23003,Madawaska,940,1143,0.4512722035525684,1316,67111,0.01960930398891389
23003,Madawaska,940,1143,0.4512722035525684,1316,10.059723516,130.81870469967694
23003,Mapleton,726,406,0.6413427561837456,1316,67111,0.01960930398891389
23003,Mapleton,726,406,0.6413427561837456,1316,10.059723516,130.81870469967694
23003,Mars Hill,511,222,0.6971350613915416,1316,67111,0.01960930398891389
23003,Mars Hill,511,222,0.6971350613915416,1316,10.059723516,130.81870469967694
23003,Masardis,0,0,NA,1316,67111,0.01960930398891389
23003,Masardis,0,0,NA,1316,10.059723516,130.81870469967694
23003,Merrill,91,43,0.6791044776119403,1316,67111,0.01960930398891389
23003,Merrill,91,43,0.6791044776119403,1316,10.059723516,130.81870469967694
23003,Monticello,335,96,0.777262180974478,1316,67111,0.01960930398891389
23003,Monticello,335,96,0.777262180974478,1316,10.059723516,130.81870469967694
23003,Moro Plt.,0,0,NA,1316,67111,0.01960930398891389
23003,Moro Plt.,0,0,NA,1316,10.059723516,130.81870469967694
23003,Nashville Plt.,16,7,0.6956521739130435,1316,67111,0.01960930398891389
23003,Nashville Plt.,16,7,0.6956521739130435,1316,10.059723516,130.81870469967694
23003,New Canada,93,61,0.6038961038961039,1316,67111,0.01960930398891389
23003,New Canada,93,61,0.6038961038961039,1316,10.059723516,130.81870469967694
23003,New Limerick,253,115,0.6875,1316,67111,0.01960930398891389
23003,New Limerick,253,115,0.6875,1316,10.059723516,130.81870469967694
23003,New Sweden,178,137,0.5650793650793651,1316,67111,0.01960930398891389
23003,New Sweden,178,137,0.5650793650793651,1316,10.059723516,130.81870469967694
23003,Oakfield,0,0,NA,1316,67111,0.01960930398891389
23003,Oakfield,0,0,NA,1316,10.059723516,130.81870469967694
23003,Orient,0,0,NA,1316,67111,0.01960930398891389
23003,Orient,0,0,NA,1316,10.059723516,130.81870469967694
23003,Penobscot Nation Vot Dst,0,0,NA,1316,67111,0.01960930398891389
23003,Penobscot Nation Vot Dst,0,0,NA,1316,10.059723516,130.81870469967694
23003,Perham,0,0,NA,1316,67111,0.01960930398891389
23003,Perham,0,0,NA,1316,10.059723516,130.81870469967694
23003,Portage Lake,160,99,0.6177606177606177,1316,67111,0.01960930398891389
23003,Portage Lake,160,99,0.6177606177606177,1316,10.059723516,130.81870469967694
23003,Presque Isle,2266,1849,0.5506682867557716,1316,67111,0.01960930398891389
23003,Presque Isle,2266,1849,0.5506682867557716,1316,10.059723516,130.81870469967694
23003,Reed Plt.,0,0,NA,1316,67111,0.01960930398891389
23003,Reed Plt.,0,0,NA,1316,10.059723516,130.81870469967694
23003,Saint Agatha,334,292,0.5335463258785943,1316,67111,0.01960930398891389
23003,Saint Agatha,334,292,0.5335463258785943,1316,10.059723516,130.81870469967694
23003,St. Francis,0,0,NA,1316,67111,0.01960930398891389
23003,St. Francis,0,0,NA,1316,10.059723516,130.81870469967694
23003,St. John Plt.,104,63,0.6227544910179641,1316,67111,0.01960930398891389
23003,St. John Plt.,104,63,0.6227544910179641,1316,10.059723516,130.81870469967694
23003,Sherman,497,157,0.7599388379204893,1316,67111,0.01960930398891389
23003,Sherman,497,157,0.7599388379204893,1316,10.059723516,130.81870469967694
23003,Smyrna,111,46,0.7070063694267515,1316,67111,0.01960930398891389
23003,Smyrna,111,46,0.7070063694267515,1316,10.059723516,130.81870469967694
23003,Stockholm,86,70,0.5512820512820513,1316,67111,0.01960930398891389
23003,Stockholm,86,70,0.5512820512820513,1316,10.059723516,130.81870469967694
23003,Van Buren,0,0,NA,1316,67111,0.01960930398891389
23003,Van Buren,0,0,NA,1316,10.059723516,130.81870469967694
23003,Wade,79,53,0.5984848484848485,1316,67111,0.01960930398891389
23003,Wade,79,53,0.5984848484848485,1316,10.059723516,130.81870469967694
23003,Wallagrass,134,153,0.46689895470383275,1316,67111,0.01960930398891389
23003,Wallagrass,134,153,0.46689895470383275,1316,10.059723516,130.81870469967694
23003,Washburn,518,278,0.6507537688442211,1316,67111,0.01960930398891389
23003,Washburn,518,278,0.6507537688442211,1316,10.059723516,130.81870469967694
23003,Westfield,174,92,0.6541353383458647,1316,67111,0.01960930398891389
23003,Westfield,174,92,0.6541353383458647,1316,10.059723516,130.81870469967694
23003,Westmanland,0,0,NA,1316,67111,0.01960930398891389
23003,Westmanland,0,0,NA,1316,10.059723516,130.81870469967694
23003,Weston,125,55,0.6944444444444444,1316,67111,0.01960930398891389
23003,Weston,125,55,0.6944444444444444,1316,10.059723516,130.81870469967694
23003,Winterville Plt.,72,49,0.5950413223140496,1316,67111,0.01960930398891389
23003,Winterville Plt.,72,49,0.5950413223140496,1316,10.059723516,130.81870469967694
23003,Woodland,409,239,0.6311728395061729,1316,67111,0.01960930398891389
23003,Woodland,409,239,0.6311728395061729,1316,10.059723516,130.81870469967694
23005,Baldwin,623,350,0.6402877697841727,53224,293557,0.18130720779950743
23005,Baldwin,623,350,0.6402877697841727,53224,351.27295667,151.51749939577834
23005,Bridgton,1528,1656,0.4798994974874372,53224,293557,0.18130720779950743
